wavelength,absorbance,
12489.67429,0.06891,
12481.95985,0.06804,
12474.24541,0.06765,
12466.53098,0.06835,
12458.81654,0.06931,
12451.1021,0.06936,
12443.38766,0.06905,
12435.67323,0.06915,
12427.95879,0.06894,
12420.24435,0.06819,
12412.52991,0.0676,
12404.81548,0.06741,
12397.10104,0.06761,
12389.3866,0.06782,
12381.67216,0.06745,
12373.95773,0.06662,
12366.24329,0.06604,
12358.52885,0.06593,
12350.81441,0.06591,
12343.09998,0.06598,
12335.38554,0.06606,
12327.6711,0.06591,
12319.95666,0.06545,
12312.24223,0.06491,
12304.52779,0.06493,
12296.81335,0.0653,
12289.09891,0.06539,
12281.38448,0.06544,
12273.67004,0.06564,
12265.9556,0.06564,
12258.24116,0.06527,
12250.52673,0.06437,
12242.81229,0.0634,
12235.09785,0.06335,
12227.38341,0.06398,
12219.66898,0.06414,
12211.95454,0.06353,
12204.2401,0.06292,
12196.52566,0.06322,
12188.81123,0.06413,
12181.09679,0.06438,
12173.38235,0.06385,
12165.66791,0.06329,
12157.95348,0.06291,
12150.23904,0.06281,
12142.5246,0.06302,
12134.81016,0.0631,
12127.09573,0.06278,
12119.38129,0.06218,
12111.66685,0.06146,
12103.95241,0.06058,
12096.23798,0.05986,
12088.52354,0.05952,
12080.8091,0.05921,
12073.09466,0.05895,
12065.38023,0.05916,
12057.66579,0.05977,
12049.95135,0.06018,
12042.23691,0.05993,
12034.52248,0.05941,
12026.80804,0.05926,
12019.0936,0.05916,
12011.37916,0.0588,
12003.66473,0.05864,
11995.95029,0.0585,
11988.23585,0.05792,
11980.52141,0.05757,
11972.80698,0.0579,
11965.09254,0.05785,
11957.3781,0.05696,
11949.66366,0.0563,
11941.94923,0.05655,
11934.23479,0.05699,
11926.52035,0.05666,
11918.80591,0.05591,
11911.09148,0.05561,
11903.37704,0.05557,
11895.6626,0.05532,
11887.94816,0.05497,
11880.23373,0.05464,
11872.51929,0.05469,
11864.80485,0.05511,
11857.09041,0.05523,
11849.37598,0.05497,
11841.66154,0.05481,
11833.9471,0.05472,
11826.23266,0.05455,
11818.51823,0.05447,
11810.80379,0.05453,
11803.08935,0.0543,
11795.37491,0.05372,
11787.66048,0.05319,
11779.94604,0.05286,
11772.2316,0.05263,
11764.51716,0.05227,
11756.80273,0.05185,
11749.08829,0.0518,
11741.37385,0.05197,
11733.65941,0.05199,
11725.94498,0.05202,
11718.23054,0.05209,
11710.5161,0.05192,
11702.80166,0.05142,
11695.08723,0.05116,
11687.37279,0.05153,
11679.65835,0.05183,
11671.94391,0.05156,
11664.22948,0.0512,
11656.51504,0.051,
11648.8006,0.05074,
11641.08616,0.05036,
11633.37173,0.05007,
11625.65729,0.04995,
11617.94285,0.04989,
11610.22841,0.04971,
11602.51398,0.04949,
11594.79954,0.04948,
11587.0851,0.04945,
11579.37066,0.04908,
11571.65623,0.04871,
11563.94179,0.04861,
11556.22735,0.0485,
11548.51291,0.04847,
