wavelength,absorbance,
12489.67429,0.07111,
12481.95985,0.0701,
12474.24541,0.0686,
12466.53098,0.06831,
12458.81654,0.06927,
12451.1021,0.07003,
12443.38766,0.07011,
12435.67323,0.06993,
12427.95879,0.06961,
12420.24435,0.06913,
12412.52991,0.06869,
12404.81548,0.06869,
12397.10104,0.06925,
12389.3866,0.06949,
12381.67216,0.06895,
12373.95773,0.06833,
12366.24329,0.06819,
12358.52885,0.06821,
12350.81441,0.06806,
12343.09998,0.06799,
12335.38554,0.06816,
12327.6711,0.068,
12319.95666,0.06718,
12312.24223,0.06636,
12304.52779,0.06632,
12296.81335,0.06671,
12289.09891,0.06672,
12281.38448,0.06641,
12273.67004,0.06628,
12265.9556,0.06639,
12258.24116,0.06642,
12250.52673,0.06597,
12242.81229,0.0653,
12235.09785,0.06496,
12227.38341,0.06491,
12219.66898,0.06502,
12211.95454,0.06494,
12204.2401,0.06447,
12196.52566,0.06414,
12188.81123,0.06411,
12181.09679,0.06382,
12173.38235,0.06327,
12165.66791,0.06286,
12157.95348,0.06263,
12150.23904,0.06268,
12142.5246,0.06316,
12134.81016,0.06356,
12127.09573,0.06372,
12119.38129,0.06391,
12111.66685,0.06364,
12103.95241,0.06271,
12096.23798,0.06197,
12088.52354,0.06179,
12080.8091,0.06173,
12073.09466,0.06156,
12065.38023,0.06156,
12057.66579,0.06189,
12049.95135,0.06211,
12042.23691,0.06158,
12034.52248,0.06056,
12026.80804,0.05995,
12019.0936,0.05984,
12011.37916,0.05974,
12003.66473,0.05973,
11995.95029,0.05979,
11988.23585,0.0595,
11980.52141,0.05916,
11972.80698,0.05921,
11965.09254,0.05905,
11957.3781,0.05855,
11949.66366,0.05844,
11941.94923,0.05853,
11934.23479,0.05833,
11926.52035,0.05791,
11918.80591,0.05727,
11911.09148,0.05673,
11903.37704,0.05687,
11895.6626,0.05743,
11887.94816,0.0578,
11880.23373,0.05765,
11872.51929,0.05719,
11864.80485,0.05695,
11857.09041,0.05699,
11849.37598,0.05702,
11841.66154,0.05688,
11833.9471,0.05645,
11826.23266,0.05594,
11818.51823,0.0557,
11810.80379,0.05552,
11803.08935,0.05507,
11795.37491,0.05478,
11787.66048,0.05483,
11779.94604,0.05486,
11772.2316,0.05483,
11764.51716,0.0546,
11756.80273,0.054,
11749.08829,0.05346,
11741.37385,0.0532,
11733.65941,0.05304,
11725.94498,0.05306,
11718.23054,0.05321,
11710.5161,0.05312,
11702.80166,0.05283,
11695.08723,0.0529,
11687.37279,0.05365,
11679.65835,0.05433,
11671.94391,0.05417,
11664.22948,0.05351,
11656.51504,0.05296,
11648.8006,0.05272,
11641.08616,0.05271,
11633.37173,0.0527,
11625.65729,0.05237,
11617.94285,0.05182,
11610.22841,0.0514,
11602.51398,0.05115,
11594.79954,0.05107,
11587.0851,0.05112,
11579.37066,0.05116,
11571.65623,0.05103,
11563.94179,0.05071,
11556.22735,0.05053,
11548.51291,0.05073,
11540.79848,0.0509,
11533.08404,0.05072,
11525.3696,0.05047,
11517.65516,0.05039,
11509.94073,0.05025,
