wavelength,absorbance
12489.67429,0.09486
12481.95985,0.09367
12474.24541,0.09394
12466.53098,0.09522
12458.81654,0.09631
12451.1021,0.09651
12443.38766,0.09565
12435.67323,0.09434
12427.95879,0.09344
12420.24435,0.09303
12412.52991,0.09268
12404.81548,0.09263
12397.10104,0.09302
12389.3866,0.09287
12381.67216,0.09234
12373.95773,0.09227
12366.24329,0.09224
12358.52885,0.09151
12350.81441,0.09041
12343.09998,0.09023
12335.38554,0.09097
12327.6711,0.09114
12319.95666,0.0904
12312.24223,0.08941
12304.52779,0.08876
12296.81335,0.08869
12289.09891,0.08876
12281.38448,0.08882
12273.67004,0.08927
12265.9556,0.08983
12258.24116,0.08993
12250.52673,0.0896
12242.81229,0.08888
12235.09785,0.08789
12227.38341,0.08717
12219.66898,0.08704
12211.95454,0.08698
12204.2401,0.08663
12196.52566,0.08671
12188.81123,0.08741
12181.09679,0.08764
12173.38235,0.08692
12165.66791,0.08588
12157.95348,0.08539
12150.23904,0.08552
12142.5246,0.08526
12134.81016,0.08433
12127.09573,0.08385
12119.38129,0.08404
12111.66685,0.08392
12103.95241,0.08319
12096.23798,0.08251
12088.52354,0.08226
12080.8091,0.08225
12073.09466,0.08242
12065.38023,0.08276
12057.66579,0.08272
12049.95135,0.08211
12042.23691,0.08152
12034.52248,0.08131
12026.80804,0.08121
12019.0936,0.08101
12011.37916,0.08085
12003.66473,0.08084
11995.95029,0.08057
11988.23585,0.07992
11980.52141,0.07949
11972.80698,0.0794
11965.09254,0.07907
11957.3781,0.07848
11949.66366,0.07814
11941.94923,0.07808
11934.23479,0.07796
11926.52035,0.07777
11918.80591,0.07748
11911.09148,0.07709
11903.37704,0.07667
11895.6626,0.07617
11887.94816,0.07585
11880.23373,0.07579
11872.51929,0.07557
11864.80485,0.07513
11857.09041,0.07481
11849.37598,0.07493
11841.66154,0.0753
11833.9471,0.07534
11826.23266,0.07508
11818.51823,0.07492
11810.80379,0.0747
11803.08935,0.07426
11795.37491,0.07399
11787.66048,0.07368
11779.94604,0.0731
11772.2316,0.07269
11764.51716,0.0723
11756.80273,0.07171
11749.08829,0.07139
11741.37385,0.07137
11733.65941,0.07128
11725.94498,0.07119
11718.23054,0.07119
11710.5161,0.071
11702.80166,0.07077
11695.08723,0.07094
11687.37279,0.07125
11679.65835,0.07109
11671.94391,0.07068
11664.22948,0.07034
11656.51504,0.07
11648.8006,0.0697
11641.08616,0.06934
11633.37173,0.06888
11625.65729,0.06843
11617.94285,0.06793
11610.22841,0.06743
11602.51398,0.0671
11594.79954,0.06708
11587.0851,0.06733
11579.37066,0.0674
11571.65623,0.06708
11563.94179,0.06674
11556.22735,0.06675
11548.51291,0.06675
11540.79848,0.06659
11533.08404,0.06653
11525.3696,0.06639
11517.65516,0.06606
11509.94073,0.06581
11502.22629,0.06571
11494.51185,0.06557
11486.79741,0.06522
11479.08298,0.06479
11471.36854,0.06443
11463.6541,0.06408
11455.93966,0.06355
11448.22523,0.06303
11440.51079,0.06294
11432.79635,0.06309
11425.08191,0.06302
11417.36748,0.06282
11409.65304,0.06277
11401.9386,0.0628
11394.22416,0.06261
11386.50973,0.06214
11378.79529,0.06153
11371.08085,0.06092
11363.36642,0.06053
11355.65198,0.06042
11347.93754,0.06046
11340.2231,0.06063
11332.50867,0.06085
11324.79423,0.06077
11317.07979,0.06036
11309.36535,0.05994
11301.65092,0.05975
11293.93648,0.05986
11286.22204,0.05992
11278.5076,0.05966
11270.79317,0.05936
11263.07873,0.05933
11255.36429,0.05932
11247.64985,0.05904
11239.93542,0.0588
11232.22098,0.05884
11224.50654,0.05883
11216.7921,0.05842
11209.07767,0.05769
11201.36323,0.05706
11193.64879,0.0568
11185.93435,0.05675
11178.21992,0.05666
11170.50548,0.05654
11162.79104,0.05643
11155.0766,0.05622
11147.36217,0.05607
11139.64773,0.05596
11131.93329,0.05564
11124.21885,0.05524
11116.50442,0.05494
11108.78998,0.05482
11101.07554,0.05475
11093.3611,0.05443
11085.64667,0.05417
11077.93223,0.05435
11070.21779,0.05461
11062.50335,0.05452
11054.78892,0.05418
11047.07448,0.05398
11039.36004,0.05399
11031.6456,0.05394
11023.93117,0.05368
11016.21673,0.0534
11008.50229,0.05317
11000.78785,0.05288
10993.07342,0.05265
10985.35898,0.05257
10977.64454,0.05247
10969.9301,0.05239
10962.21567,0.05228
10954.50123,0.05184
10946.78679,0.05131
10939.07235,0.05125
10931.35792,0.05164
10923.64348,0.05185
10915.92904,0.05162
10908.2146,0.05128
10900.50017,0.05099
10892.78573,0.05068
10885.07129,0.05038
10877.35685,0.05004
10869.64242,0.04975
10861.92798,0.04966
10854.21354,0.04956
10846.4991,0.04937
10838.78467,0.04928
10831.07023,0.04931
10823.35579,0.04927
10815.64135,0.049
10807.92692,0.04855
10800.21248,0.0482
10792.49804,0.04803
10784.7836,0.04785
10777.06917,0.04773
10769.35473,0.04776
10761.64029,0.0477
10753.92585,0.04744
10746.21142,0.04716
10738.49698,0.04693
10730.78254,0.04674
10723.0681,0.04658
10715.35367,0.04637
10707.63923,0.04607
10699.92479,0.04567
10692.21035,0.04528
10684.49592,0.04506
10676.78148,0.04501
10669.06704,0.04493
10661.3526,0.04477
10653.63817,0.04467
10645.92373,0.04455
10638.20929,0.04422
10630.49485,0.04387
10622.78042,0.04373
10615.06598,0.04371
10607.35154,0.0436
10599.6371,0.04336
10591.92267,0.04315
10584.20823,0.04312
10576.49379,0.04325
10568.77935,0.04331
10561.06492,0.04321
10553.35048,0.04294
10545.63604,0.04258
10537.9216,0.04237
10530.20717,0.04226
10522.49273,0.042
10514.77829,0.0417
10507.06385,0.04159
10499.34942,0.04154
10491.63498,0.04145
10483.92054,0.04146
10476.2061,0.0415
10468.49167,0.0414
10460.77723,0.0411
10453.06279,0.04085
10445.34835,0.04074
10437.63392,0.04062
10429.91948,0.04043
10422.20504,0.04019
10414.4906,0.03999
10406.77617,0.03985
10399.06173,0.03977
10391.34729,0.03977
10383.63285,0.03975
10375.91842,0.03976
10368.20398,0.04004
10360.48954,0.04035
10352.7751,0.04031
10345.06067,0.04003
10337.34623,0.03983
10329.63179,0.03975
10321.91735,0.0396
10314.20292,0.03942
10306.48848,0.03941
10298.77404,0.03954
10291.0596,0.03965
10283.34517,0.03981
10275.63073,0.04005
