wavelength,absorbance
12489.67429,0.11338
12481.95985,0.11171
12474.24541,0.11108
12466.53098,0.11182
12458.81654,0.11327
12451.1021,0.11418
12443.38766,0.11398
12435.67323,0.11333
12427.95879,0.11269
12420.24435,0.11185
12412.52991,0.11115
12404.81548,0.11141
12397.10104,0.11215
12389.3866,0.11208
12381.67216,0.11127
12373.95773,0.11058
12366.24329,0.11019
12358.52885,0.10977
12350.81441,0.10909
12343.09998,0.10857
12335.38554,0.10869
12327.6711,0.1089
12319.95666,0.10839
12312.24223,0.10734
12304.52779,0.1068
12296.81335,0.1071
12289.09891,0.10763
12281.38448,0.10777
12273.67004,0.10722
12265.9556,0.10646
12258.24116,0.10633
12250.52673,0.10672
12242.81229,0.1066
12235.09785,0.1057
12227.38341,0.105
12219.66898,0.105
12211.95454,0.10489
12204.2401,0.10422
12196.52566,0.10373
12188.81123,0.10388
12181.09679,0.10391
12173.38235,0.10343
12165.66791,0.10279
12157.95348,0.10205
12150.23904,0.10163
12142.5246,0.10174
12134.81016,0.10172
12127.09573,0.10126
12119.38129,0.1009
12111.66685,0.10072
12103.95241,0.10004
12096.23798,0.09891
12088.52354,0.09812
12080.8091,0.09793
12073.09466,0.09812
12065.38023,0.09853
12057.66579,0.09879
12049.95135,0.09876
12042.23691,0.09866
12034.52248,0.09844
12026.80804,0.09794
12019.0936,0.09743
12011.37916,0.0972
12003.66473,0.09721
11995.95029,0.0971
11988.23585,0.0965
11980.52141,0.0957
11972.80698,0.09549
11965.09254,0.09543
11957.3781,0.09468
11949.66366,0.09379
11941.94923,0.09321
11934.23479,0.09262
11926.52035,0.09222
11918.80591,0.09217
11911.09148,0.0923
11903.37704,0.09223
11895.6626,0.09182
11887.94816,0.09164
11880.23373,0.09185
11872.51929,0.09192
11864.80485,0.0917
11857.09041,0.09139
11849.37598,0.09112
11841.66154,0.09089
11833.9471,0.09081
11826.23266,0.09106
11818.51823,0.09138
11810.80379,0.09113
11803.08935,0.09034
11795.37491,0.08977
11787.66048,0.08936
11779.94604,0.08854
11772.2316,0.08762
11764.51716,0.08716
11756.80273,0.08701
11749.08829,0.08679
11741.37385,0.08636
11733.65941,0.08596
11725.94498,0.0858
11718.23054,0.08563
11710.5161,0.08527
11702.80166,0.0851
11695.08723,0.0855
11687.37279,0.0861
11679.65835,0.08614
11671.94391,0.08566
11664.22948,0.08517
11656.51504,0.08478
11648.8006,0.08457
11641.08616,0.08434
11633.37173,0.0839
11625.65729,0.08332
11617.94285,0.08269
11610.22841,0.08223
11602.51398,0.08207
11594.79954,0.0819
11587.0851,0.08161
11579.37066,0.0814
