wavelength,absorbance
12489.67429,0.10985
12481.95985,0.10918
12474.24541,0.10843
12466.53098,0.10848
12458.81654,0.10915
12451.1021,0.10933
12443.38766,0.10862
12435.67323,0.1079
12427.95879,0.10786
12420.24435,0.10795
12412.52991,0.10771
12404.81548,0.10786
12397.10104,0.10838
12389.3866,0.10805
12381.67216,0.10691
12373.95773,0.10619
12366.24329,0.10627
12358.52885,0.10641
12350.81441,0.10593
12343.09998,0.10514
12335.38554,0.10463
12327.6711,0.10442
12319.95666,0.10423
12312.24223,0.10406
12304.52779,0.104
12296.81335,0.10404
12289.09891,0.1042
12281.38448,0.10425
12273.67004,0.10388
12265.9556,0.1035
12258.24116,0.10334
12250.52673,0.10295
12242.81229,0.10254
12235.09785,0.10288
12227.38341,0.1037
12219.66898,0.10388
12211.95454,0.10282
12204.2401,0.10128
12196.52566,0.10063
12188.81123,0.10097
12181.09679,0.10119
12173.38235,0.10108
12165.66791,0.10104
12157.95348,0.10085
12150.23904,0.10067
12142.5246,0.1008
12134.81016,0.10072
12127.09573,0.10017
12119.38129,0.09949
12111.66685,0.09874
12103.95241,0.09805
12096.23798,0.09759
12088.52354,0.09713
12080.8091,0.09673
12073.09466,0.09672
12065.38023,0.09701
12057.66579,0.09739
12049.95135,0.09772
12042.23691,0.09772
12034.52248,0.09724
12026.80804,0.0964
12019.0936,0.09557
12011.37916,0.09528
12003.66473,0.09558
11995.95029,0.09557
11988.23585,0.09482
11980.52141,0.09429
11972.80698,0.09435
11965.09254,0.09399
11957.3781,0.09299
11949.66366,0.09254
11941.94923,0.09309
11934.23479,0.0936
11926.52035,0.09339
11918.80591,0.09284
11911.09148,0.09238
11903.37704,0.09186
11895.6626,0.09123
11887.94816,0.09102
11880.23373,0.09137
11872.51929,0.0918
11864.80485,0.09185
11857.09041,0.09145
11849.37598,0.09092
11841.66154,0.0904
11833.9471,0.0899
11826.23266,0.08982
11818.51823,0.09014
11810.80379,0.09034
11803.08935,0.09037
11795.37491,0.09027
11787.66048,0.08969
11779.94604,0.08883
11772.2316,0.08821
11764.51716,0.08767
11756.80273,0.08719
11749.08829,0.08708
11741.37385,0.08721
11733.65941,0.08714
11725.94498,0.08662
11718.23054,0.08602
11710.5161,0.08595
11702.80166,0.08635
11695.08723,0.08692
11687.37279,0.08753
11679.65835,0.08781
11671.94391,0.08749
11664.22948,0.08678
11656.51504,0.08588
11648.8006,0.08523
11641.08616,0.08516
11633.37173,0.08527
11625.65729,0.08512
11617.94285,0.08495
11610.22841,0.0849
11602.51398,0.08449
11594.79954,0.08382
11587.0851,0.08336
11579.37066,0.08278
11571.65623,0.08201
11563.94179,0.08178
11556.22735,0.08198
11548.51291,0.08193
11540.79848,0.08189
11533.08404,0.08221
11525.3696,0.08238
11517.65516,0.08209
11509.94073,0.08166
11502.22629,0.0814
11494.51185,0.08115
11486.79741,0.08081
11479.08298,0.08062
11471.36854,0.08048
11463.6541,0.08009
11455.93966,0.07961
11448.22523,0.07933
11440.51079,0.07933
11432.79635,0.07959
11425.08191,0.07986
11417.36748,0.07972
